,name,description,member
25786,ASCL2,EP400,colon
25787,ASCL2,POLE,colon
25788,ASCL2,LARGE,colon
25789,ASCL2,TXN2,colon
25790,ASCL2,CDC42EP1,colon
25791,ASCL2,H1F0,colon
25792,ASCL2,ADSL,colon
25793,ASCL2,CCDC134,colon
25794,ASCL2,SREBF2,colon
25795,ASCL2,RP5-821D11.7,colon
33940,ATF3,MIR1282,colon
34211,ATF3,YBX1P2,colon
34443,ATF3,C10orf2,colon
34763,ATF3,TNFSF13,colon
34824,ATF3,RP5-1028K7.1,colon
34968,ATF3,ATRAID,colon
35010,ATF3,RPL23AP7,colon
35104,ATF3,CTB-31O20.9,colon
35307,ATF3,Y_RNA,colon
35457,ATF3,EXOSC10,colon
35700,ATF3,MIR3137,colon
35795,ATF3,RP11-424M24.5,colon
35900,ATF3,CTB-17P3.4,colon
36096,ATF3,CTC-479C5.11,colon
36213,ATF3,HOXA10,colon
36358,ATF3,MIR7850,colon
36560,ATF3,FAM110D,colon
36776,ATF3,RNF123,colon
36971,ATF3,POLR2G,colon
37033,ATF3,Y_RNA,colon
37095,ATF3,XXbac-BPG181M17.5,colon
37127,ATF3,RN7SL62P,colon
37179,ATF3,RNU2-52P,colon
37273,ATF3,AC078883.4,colon
37367,ATF3,ANAPC15,colon
37375,ATF3,RP11-254F7.3,colon
37392,ATF3,TRMT112P6,colon
37478,ATF3,RNF181,colon
37602,ATF3,RP5-1116H23.4,colon
37643,ATF3,RP4-550H1.5,colon
37675,ATF3,Y_RNA,colon
37676,ATF3,Metazoa_SRP,colon
37731,ATF3,RN7SKP292,colon
37745,ATF3,RNU7-11P,colon
37910,ATF3,Metazoa_SRP,colon
38118,ATF3,AC005740.6,colon
38137,ATF3,RN7SL684P,colon
38171,ATF3,MIR548AK,colon
38188,ATF3,AK3P5,colon
38321,ATF3,DSTNP2,colon
38432,ATF3,MTERF2,colon
38464,ATF3,RPL31P52,colon
38487,ATF3,RP11-83B20.10,colon
38569,ATF3,TBL2,colon
38626,ATF3,NAT16,colon
38671,ATF3,TRBV30,colon
38685,ATF3,RP4-751H13.7,colon
38762,ATF3,TNFRSF4,colon
38806,ATF3,RNU6-304P,colon
38807,ATF3,HMGN2P17,colon
38839,ATF3,RP5-875O13.6,colon
38884,ATF3,NR0B2,colon
39026,ATF3,KATNBL1P2,colon
39043,ATF3,PTPN22,colon
39060,ATF3,RP6-74O6.6,colon
39165,ATF3,RP5-1059H15.1,colon
39324,ATF3,RP11-109N23.1,colon
39390,ATF3,RP1-59D14.5,colon
39391,ATF3,RP1-59D14.1,colon
39392,ATF3,METTL16,colon
39398,ATF3,RNF167,colon
39407,ATF3,CTD-2545G14.4,colon
39408,ATF3,CLDN7,colon
39432,ATF3,AURKB,colon
39491,ATF3,RP11-68I3.10,colon
39532,ATF3,LINC00974,colon
39600,ATF3,RNU1-42P,colon
39628,ATF3,RNU1-108P,colon
39667,ATF3,ATP5H,colon
39748,ATF3,RP11-521C20.3,colon
39789,ATF3,RP11-430B1.1,colon
39848,ATF3,CTD-2313J17.7,colon
39880,ATF3,RP11-100G15.2,colon
39881,ATF3,RP11-100G15.3,colon
39882,ATF3,RP11-100G15.4,colon
39883,ATF3,RP11-100G15.5,colon
39884,ATF3,MTND4P15,colon
39894,ATF3,RP11-535C21.3,colon
40053,ATF3,IGSF22,colon
40056,ATF3,NAV2-AS1,colon
40143,ATF3,MALAT1;,colon
40175,ATF3,AIP,colon
40331,ATF3,RN7SKP249,colon
40332,ATF3,KB-1460A1.3,colon
40336,ATF3,ODF1,colon
40344,ATF3,RN7SKP155,colon
40353,ATF3,PVT1_3,colon
40371,ATF3,RP13-582O9.7,colon
40387,ATF3,GPT,colon
40488,ATF3,RNU6-633P,colon
40665,ATF3,AC004449.6,colon
40719,ATF3,SNORD38,colon
40737,ATF3,AC005783.1,colon
40957,ATF3,FUT1,colon
40960,ATF3,MIR6798,colon
40963,ATF3,CTB-60B18.10,colon
40966,ATF3,NTF6G,colon
41049,ATF3,RNU6-1337P,colon
41084,ATF3,CCDC120,colon
41255,ATF3,RP11-119D18.1,colon
41302,ATF3,ABCC5-AS1,colon
41355,ATF3,RP1-62D2.4,colon
41682,ATF3,SYCE1L,colon
41783,ATF3,snoZ6,colon
41893,ATF3,SEC13P1,colon
41905,ATF3,PSMD10P2,colon
41906,ATF3,SNORA4,colon
41907,ATF3,EIF4A2,colon
41914,ATF3,IL18,colon
41915,ATF3,SDHD,colon
41916,ATF3,TEX12,colon
41918,ATF3,BCO2,colon
41919,ATF3,RP11-702B10.1,colon
41946,ATF3,RPS3AP46,colon
41947,ATF3,AL163953.2,colon
41950,ATF3,OSCP1,colon
41972,ATF3,AOX3P,colon
41981,ATF3,RP11-462G2.1,colon
41984,ATF3,SLC25A5P7,colon
41986,ATF3,LAMA2,colon
42002,ATF3,RP11-617D20.2,colon
42006,ATF3,DUX4,colon
42036,ATF3,RN7SKP69,colon
42055,ATF3,FAM83C,colon
42085,ATF3,UBE2C,colon
42098,ATF3,RNU6-919P,colon
42118,ATF3,MIR4756,colon
42131,ATF3,RP1-309F20.4,colon
42147,ATF3,LINC00337,colon
42151,ATF3,CTA-215D11.4,colon
42165,ATF3,MIR6730,colon
42279,ATF3,DNASE2B,colon
42284,ATF3,RP4-612B15.2,colon
42411,ATF3,RGS16,colon
42437,ATF3,RP11-510N19.2,colon
42491,ATF3,RP11-298E9.5,colon
42504,ATF3,NUTF2P5,colon
42506,ATF3,TRDMT1,colon
42520,ATF3,RP11-241I20.4,colon
42595,ATF3,C10orf62,colon
42656,ATF3,Metazoa_SRP,colon
42657,ATF3,LGALS2,colon
42675,ATF3,ATP5L2,colon
42816,ATF3,RP11-420B22.2,colon
42882,ATF3,MRPL9P1,colon
42896,ATF3,PSMA2P2,colon
42917,ATF3,RP11-1C8.7,colon
43001,ATF3,RP11-571I18.2,colon
43046,ATF3,RN7SL184P,colon
43047,ATF3,RNU1-138P,colon
43103,ATF3,RP11-165F24.2,colon
